a	a1
angebotenen	&1 n g @0 b o0 t @0 n @0 n
angebracht	&1 n g @0 b r &0 x t
angebunden	&1 n g @0 b U0 n d @0 n
angedroht	&1 n g @0 d r o0 t
angefangen	&1 n g @0 f &0 N @0 n
angefertigt	&1 n g @0 f E0 r t I0 x t
angefreundet	&1 n g @0 f r X0 n d @0 t
angefügt	&1 n g @0 f y0 k t
angefüllt	&1 n g @0 f Y0 l t
angegangen	&1 n g @0 g &0 N @0 n
angegossen	&1 n g @0 g O0 s @0 n
angegriffen	&1 n g @0 g r I0 f @0 n
angehangen	&1 n g @0 h &0 N @0 n
angeheftet	&1 n g @0 h E0 f t @0 t
angehen	&1 n g e0 @0 n
angeht	&1 n g e0 t
angehöre	&1 n g @0 h 0 r @0
angehören	&1 n g @0 h 0 r @0 n
angehöret	&1 n g @0 h 0 r @0 t
angehört	&1 n g @0 h 0 r t
angeklagt	&1 n g @0 k l a0 k t
angekommen	&1 n g @0 k O0 m @0 n
angekündigt	&1 n g @0 k Y0 n d I0 x t
angel	&1 N @0 l
angelaufen	&1 n g @0 l B0 f @0 n
angelegt	&1 n g @0 l e0 k t
angeln	&1 N @0 l n
angenehm	&1 n g @0 n e0 m
angenehme	&1 n g @0 n e0 m @0
angenehmen	&1 n g @0 n e0 m @0 n
angenehmes	&1 n g @0 n e0 m @0 s
angenommen	&1 n g @0 n O0 m @0 n
angerechnet	&1 n g @0 r E0 x n @0 t
angerichtet	&1 n g @0 r I0 x t @0 t
angerufen	&1 n g @0 r u0 f @0 n
angerührt	&1 n g @0 r y0 r t
angesagt	&1 n g @0 z a0 k t
angeschickt	&1 n g @0 S I0 k t
angeschlagen	&1 n g @0 S l a0 g @0 n
angeschrieben	&1 n g @0 S r i0 b @0 n
angeschrien	&1 n g @0 S r i0 n
angesehen	&1 n g @0 z e0 @0 n
angesehene	&1 n g @0 z e0 @0 n @0
angesehenen	&1 n g @0 z e0 @0 n @0 n
angesehener	&1 n g @0 z e0 @0 n @0 r
angesehensten	&1 n g @0 z e0 @0 n s t @0 n
angesicht	&1 n g @0 z I0 x t
angesichte	&1 n g @0 z I0 x t @0
angesichter	&1 n g @0 z I0 x t @0 r
angesichtern	&1 n g @0 z I0 x t @0 r n
angesichts	&1 n g @0 z I0 x =
angesiedelt	&1 n g @0 z i0 d @0 l t
angesprochen	&1 n g @0 S p r O0 x @0 n
angesteckt	&1 n g @0 S t E0 k t
angestiftet	&1 n g @0 S t I0 f t @0 t
angetan	&1 n g @0 t a0 n
angetroffen	&1 n g @0 t r O0 f @0 n
angewiesen	&1 n g @0 v i0 z @0 n
angezeigt	&1 n g @0 = W0 k t
angezogen	&1 n g @0 = o0 g @0 n
angezündet	&1 n g @0 = Y0 n d @0 t
anging	&1 n g I0 N
angreife	&1 n g r W0 f @0
angreifen	&1 n g r W0 f @0 n
angreifst	&1 n g r W0 f s t
angreift	&1 n g r W0 f t
angriff	&1 n g r I0 f
angriffen	&1 n g r I0 f @0 n
angst	&1 N s t
angstrufe	&1 N s t r u0 f @0
angstvoller	&1 N s t f O0 l @0 r
anhaben	&1 n h a0 b @0 n
anhalten	&1 n h &0 l t @0 n
anhaltenden	&1 n h &0 l t @0 n d @0 n
anhang	&1 n h &0 N
anhangen	&1 n h &0 N @0 n
anhanget	&1 n h &0 N @0 t
anhangt	&1 n h &0 N t
anhatte	&1 n h &0 t @0
anheben	&1 n h e0 b @0 n
anheften	&1 n h E0 f t @0 n
anheim	&1 n h W0 m
anhielten	&1 n h i0 l t @0 n
anhing	&1 n h I0 N
anhinget	&1 n h I0 N @0 t
anhob	&1 n h o0 p
anhängen	&1 n h E0 N @0 n
anhören	&1 n h 0 r @0 n
anhört	&1 n h 0 r t
aniam	&0 n i1 a0 m
anim	&0 n i0 m
anker	&1 N k @0 r
anklage	&1 n k l a0 g @0
anklopft	&1 n k l O0 + t
ankläger	&1 n k l )0 g @0 r
anknüpfen	&1 n k n Y0 + @0 n
ankommen	&1 n k O0 m @0 n
ankunft	&1 n k U0 n f t
ankündigt	&1 n k Y0 n d I0 x t
anlangt	&1 n l &0 N t
anlass	&1 n l &0 s
anlaufen	&1 n l B0 f @0 n
anlege	&1 n l e0 g @0
anlegen	&1 n l e0 g @0 n
anlegt	&1 n l e0 k t
anleitet	&1 n l W0 t @0 t
anliege	&1 n l i0 g @0
anliegen	&1 n l i0 g @0 n
anläufe	&1 n l X0 f @0
anmassung	&1 n m a0 s U0 N
anmut	&1 n m u0 t
annahme	&1 n n a0 m @0
annahmen	&1 n n a0 m @0 n
annehme	&1 n n e0 m @0
annehmen	&1 n n e0 m @0 n
annimmst	&1 n n I0 m s t
annimmt	&1 n n I0 m t
annähmen	&1 n n )0 m @0 n
anoth	&0 n o0 t
anrecht	&1 n r E0 x t
anregen	&1 n r e0 g @0 n
anreiz	&1 n r W0 =
anrichte	&1 n r I0 x t @0
anrichten	&1 n r I0 x t @0 n
anrichtet	&1 n r I0 x t @0 t
anrichtete	&1 n r I0 x t @0 t @0
anrief	&1 n r i0 f
anrufe	&1 n r u0 f @0
anrufen	&1 n r u0 f @0 n
anrufet	&1 n r u0 f @0 t
anruft	&1 n r u0 f t
anrühren	&1 n r y0 r @0 n
anrührt	&1 n r y0 r t
anrührte	&1 n r y0 r t @0
anrührten	&1 n r y0 r t @0 n
ans	&1 n s
ansagen	&1 n z a0 g @0 n
ansagte	&1 n z a0 k t @0
ansagten	&1 n z a0 k t @0 n
ansagtet	&1 n z a0 k t @0 t
ansah	&1 n z a0
anschaffen	&1 n S &0 f @0 n
anschaffte	&1 n S &0 f t @0
anschaute	&1 n S B0 t @0
anschlag	&1 n S l a0 k
anschliessen	&1 n S l i0 s @0 n
anschläge	&1 n S l )0 g @0
anschlägen	&1 n S l )0 g @0 n
anschwellen	&1 n S v E0 l @0 n
ansehe	&1 n z e0 @0
ansehen	&1 n z e0 @0 n
ansehet	&1 n z e0 @0 t
ansehnlich	&1 n z e0 n l I0 x
ansehnliches	&1 n z e0 n l I0 x @0 s
anseht	&1 n z e0 t
ansehung	&1 n z e0 U0 N
ansiehst	&1 n z i0 s t
ansieht	&1 n z i0 t
anspruch	&1 n S p r U0 x
anstatt	&0 n S t &1 t
anstecken	&1 n S t E0 k @0 n
anstehen	&1 n S t e0 @0 n
ansteigt	&1 n S t W0 k t
anstelle	&1 n S t E0 l @0
anstellen	&1 n S t E0 l @0 n
anstimmen	&1 n S t I0 m @0 n
anstoss	&1 n S t o0 s
anstosses	&1 n S t o0 s @0 s
anstrengungen	&1 n S t r E0 N U0 N @0 n
anstrich	&1 n S t r I0 x
anstösse	&1 n S t 0 s @0
anstössiges	&1 n S t 0 s I0 g @0 s
anstürmen	&1 n S t Y0 r m @0 n
ansähe	&1 n z )0 @0
antaste	&1 n t &0 s t @0
antasten	&1 n t &0 s t @0 n
antastet	&1 n t &0 s t @0 t
antat	&1 n t a0 t
antaten	&1 n t a0 t @0 n
anteil	&1 n t W0 l
anteile	&1 n t W0 l @0
anthothja	&0 n t o0 t j a0
antilope	&0 n t i0 l o1 p @0
antiochien	&0 n t i0 O0 x i1 @0 n
antipas	&0 n t i0 p a1 s
antipatris	&0 n t i0 p &0 t r i0 s
antlitz	&1 n t l I0 =
antrafen	&1 n t r a0 f @0 n
antraten	&1 n t r a0 t @0 n
antreten	&1 n t r e0 t @0 n
antretet	&1 n t r e0 t @0 t
antrieb	&1 n t r i0 p
antun	&1 n t u0 n
antust	&1 n t u0 s t
antut	&1 n t u0 t
antwort	&1 n t v O0 r t
antworte	&1 n t v O0 r t @0
antworten	&1 n t v O0 r t @0 n
antwortest	&1 n t v O0 r t @0 s t
antwortet	&1 n t v O0 r t @0 t
antwortete	&1 n t v O0 r t @0 t @0
antworteten	&1 n t v O0 r t @0 t @0 n
antwortetet	&1 n t v O0 r t @0 t @0 t
anub	&0 n u0 p
anvertrauen	&1 n f E0 r t r B0 @0 n
anvertraut	&1 n f E0 r t r B0 t
anvertraute	&1 n f E0 r t r B0 t @0
anwalt	&1 n v &0 l t
anweisung	&1 n v W0 z U0 N
anwesend	&1 n v e0 z @0 n t
anwiese	&1 n v i0 z @0
anzahl	&1 n = a0 l
anzeichen	&1 n = W0 x @0 n
anzeigen	&1 n = W0 g @0 n
anzeigt	&1 n = W0 k t
anzeigte	&1 n = W0 k t @0
anziehen	&1 n = i0 @0 n
anziehendes	&1 n = i0 @0 n d @0 s
anzog	&1 n = o0 k
anzubeten	&1 n = u0 b e0 t @0 n
anzuflehen	&1 n = u0 f l e0 @0 n
anzugehören	&1 n = u0 g @0 h 0 r @0 n
anzulegen	&1 n = u0 l e0 g @0 n
anzuleiten	&1 n = u0 l W0 t @0 n
anzunehmen	&1 n = u0 n e0 m @0 n
anzureizen	&1 n = u0 r W0 = @0 n
anzurichten	&1 n = u0 r I0 x t @0 n
anzurufen	&1 n = u0 r u0 f @0 n
anzurühren	&1 n = u0 r y0 r @0 n
anzusagen	&1 n = u0 z a0 g @0 n
anzuschauen	&1 n = u0 S B0 @0 n
anzusehen	&1 n = u0 z e0 @0 n
anzuspeien	&1 n = u0 S p W0 @0 n
anzustimmen	&1 n = u0 S t I0 m @0 n
anzutun	&1 n = u0 t u0 n
anzuwerben	&1 n = u0 v E0 r b @0 n
anzuzeigen	&1 n = u0 = W0 g @0 n
anzuziehen	&1 n = u0 = i0 @0 n
anzuzünden	&1 n = u0 = Y0 n d @0 n
anzöge	&1 n = 0 g @0
anzögen	&1 n = 0 g @0 n
anzünde	&1 n = Y0 n d @0
anzünden	&1 n = Y0 n d @0 n
anzündet	&1 n = Y0 n d @0 t
apelles	&0 p E0 l @0 s
apfelbaum	&1 + @0 l b B0 m
apfelbäume	&1 + @0 l b X0 m @0
aphek	&0 f e0 k
apheka	&0 f e0 k a0
aphias	&0 f i1 a0 s
apollisch	&0 p O1 l I0 S
apollonia	&0 p O1 l o0 n i0 a0
apollos	&0 p O1 l o0 s
apollyon	&0 p O1 l j ~1
apostel	&0 p O1 s t @0 l
apostelamt	&0 p O1 s t @0 l &0 m t
apostelamts	&0 p O1 s t @0 l &0 m =
aposteln	&0 p O1 s t @0 l n
apostels	&0 p O1 s t @0 l s
appajim	&0 p &0 j i0 m
appajims	&0 p &0 j I0 m s
appia	&0 p i0 a0
appii	&0 p I1 i0
aquila	&0 k v i0 l a0
ar	a1 r
ara	a1 r a0
arab	&0 r a1 p
araba	&0 r &0 b a0
araber	a1 r &0 b @0 r
arabern	a1 r &0 b @0 r n
arabien	&0 r &0 b i0 @0 n
arabiens	&0 r &0 b i0 @0 n s
arabiter	&0 r &0 b i0 t @0 r
arach	&0 r &0 x
arachs	&0 r &0 x s
arad	a1 r a0 t
aram	&0 r &0 m
arams	&0 r &0 m s
aramäer	&0 r &0 m )1 @0 r
aramäerland	&0 r &0 m )1 @0 r l &0 n t
aramäern	&0 r &0 m )1 @0 r n
aramäerreich	&0 r &0 m )1 @0 r r W0 x
aramäisch	&0 r &0 m )1 I0 S
aramäische	&0 r &0 m )1 I0 S @0
aramäischer	&0 r &0 m )1 I0 S @0 r
aran	&0 r a1 n
arara	a1 r a0 r a0
ararat	&0 r &0 r a1 t
arawna	&0 r &0 v n a0
arawnas	&0 r &0 v n a0 s
arba	&0 r b a0
arbathiter	&0 r b a1 t i1 t @0 r
arbe	&1 r b @0
arbeel	&0 r b e1 l
arbeit	&1 r b W0 t
arbeite	&1 r b W0 t @0
arbeiten	&1 r b W0 t @0 n
arbeiter	&1 r b W0 t @0 r
arbeitern	&1 r b W0 t @0 r n
arbeiters	&1 r b W0 t @0 r s
arbeitet	&1 r b W0 t @0 t
arbeitete	&1 r b W0 t @0 t @0
arbeiteten	&1 r b W0 t @0 t @0 n
arbeitsfeld	&1 r b W0 = f E0 l t
arche	&1 r x @0
archelaus	&0 r x @0 l B0 s
archippus	&0 r x i0 p p U0 s
ard	&0 r t
arditer	&0 r d i0 t @0 r
ardon	&0 r d ~1
areli	&0 r e1 l i0
areliter	&0 r e1 l I0 t @0 r
areopag	&0 r e0 o0 p a1 k
aretas	&0 r e1 t a0 s
arg	&1 r k
arge	&1 r g @0
argen	&1 r g @0 n
arges	&1 r g @0 s
argheit	&1 r k h W0 t
arglistigen	&1 r k l I0 s t I0 g @0 n
arglistiger	&1 r k l I0 s t I0 g @0 r
arglos	&1 r k l o0 s
arglosen	&1 r k l o0 z @0 n
argloses	&1 r k l o0 z @0 s
argob	&0 r g o1 p
argwohn	&1 r k v o0 n
aridai	&0 r i1 t W1
aridatha	&0 r i0 d a1 = a0
ariel	&0 r i1 l
arimathia	&0 r i1 m &0 t i0 a0
arioch	&0 r i1 O0 x
ariochs	&0 r i1 O0 x s
arisai	&0 r i0 z a1 i0
aristarchus	&0 r I0 s t &0 r x U0 s
aristobulus	&0 r I0 s t o0 b u0 l U0 s
ariël	&0 r i1 l
arje	a1 r j @0
arjoch	a1 r j O1 x
arkiter	&0 r k i1 t @0 r
arkiters	&0 r k I0 t @0 r s
arm	&1 r m
arme	&1 r m @0
armen	&1 r m @0 n
armer	&1 r m @0 r
armes	&1 r m @0 s
armgeschmeide	&1 r m g @0 S m W1 d @0
armoni	&0 r m o1 n i0
armringe	&1 r m r I1 N @0
arms	&1 r m s
armspangen	&1 r m S p &1 N @0 n
armut	&1 r m u0 t
arnan	&1 r n &0 n
arnis	a1 r n I0 s
arnon	&0 r n O0 n
arnonfluss	a1 r n o0 n f l U0 s
arnonflusses	a1 r n o0 n f l U0 s @0 s
arod	&0 r o1 t
arodi	&0 r o0 d i0
aroditer	&0 r o0 d i1 t @0 r
aroër	&0 r o1 r
aroëriters	&0 r o0 r i0 t @0 r s
arpachschad	&0 r p &1 x S &0 t
arpachschads	&0 r p &1 x S a0 =
arpad	&0 r p a0 t
arphachsad	&0 r f &0 k s a0 t
art	a1 r t
artaxerxes	&0 r t &0 k s e0 r k s @0 s
artemas	&0 r t e0 m a0 s
arten	a1 r t @0 n
arthahsastha	&0 r t a1 s &0 s t a0
arthahsasthas	&0 r t a1 s &0 s t a0 s
arubboth	&0 r U0 b o0 t
aruma	&0 r u1 m a0
arvaditer	&1 r v a1 d i0 t @0 r
arwad	&0 r v a1 t
arwaditer	&0 r v a1 d i0 t @0 r
arzas	a1 r = &0 s
arznei	a0 r = n W1
arzt	a1 r = t
arztes	a1 r = t @0 s
arztgeld	a1 r = t g E0 l t
asa	&0 s a0
asabthani	&0 z &1 p t a1 n i0
asahel	&0 z a1 @0 l
asahels	&0 z a1 @0 l s
asaja	&0 z a1 j a0
asanjas	&0 z &1 n j a0 s
asans	&0 z a1 n s
asaph	&0 z a1 f
asaphs	&0 z a1 f s
asar	&0 z a1 r
asarel	&0 z a0 r @0 l
asarela	&0 z a0 r @0 l a0
asarels	&0 z a0 r @0 l s
asarja	&0 z a1 r j a0
asarjas	&0 z a1 r j a0 s
asas	&0 s a0 s
asasel	&0 z a1 z @0 l
asasja	&0 z &1 s j a0
asasjas	&0 z &1 s j a0 s
asaël	&0 z a1 l
asbel	&0 s b E1 l
asbuks	&0 s b u0 k s
aschan	&1 S &0 n
aschbea	&1 S b e0 a0 s
aschbel	&1 S b @0 l
aschbeliter	&1 S b e0 l i1 t @0 r
asche	&1 S @0
aschenhaufen	&1 S @0 n h B0 f @0 n
aschera	&1 S @0 r a0
ascherabild	&1 S @0 r a0 b I0 l t
ascherabilder	&1 S @0 r a0 b I0 l d @0 r
ascherabildes	&1 S @0 r a0 b I0 l d @0 s
ascheren	&1 S @0 r @0 n
aschhur	&1 S h u1 r
aschima	&1 S I0 m a0
aschkenas	&1 S k @0 n a0 s
aschna	&1 S n a0
aschpenas	&1 S p e1 n a0 s
aschtaroth	&1 S t a0 r o0 t
aschtarothiter	&1 S t a0 r o0 t i1 t @0 r
aschwath	&1 S v a1 t
asdod	&0 s d o1 t
asdodisch	&0 s d o1 d I0 S
asdoditer	&0 s d o0 d i1 t @0 r
aseka	)1 z @0 k a0
asgad	&0 s g a0 t
asien	a1 z i0 @0 n
asisa	&0 z i1 z a0
asiëls	&0 z i1 l s
askalon	&0 s k &0 l ~1
askenas	&0 s k e1 n a0 s
asmaweth	&0 s m a0 v E0 t
asmaweths	&0 s m a0 v E0 =
asna	&1 s n a0
asnath	&1 s n a0 t
asnoth	&1 s n o0 t
asor	&0 s O0 r
aspatha	&0 s p a1 t a0
asrikam	&0 s r i0 k a0 m
asrikams	&0 s r i0 k a0 m s
asriël	&0 s r i1 l
asriëliter	&0 s r i0 l i1 t @0 r
asriëls	&0 s r i1 l s
ass	a1 s
assen	a1 s @0 n
asser	&0 s @0 r
assers	&0 s @0 r s
assest	a1 s @0 s t
assir	&0 s i0 r
assirs	&0 s i0 r s
assos	&0 s o0 s
assur	&0 s u1 r
assuriter	&0 s u1 r i0 t @0 r
assurs	&0 s u1 r s
assyrer	&0 s y1 r @0 r
assyrern	&0 s y1 r @0 r n
assyrien	&0 s y1 r i0 @0 n
assyriens	&0 s y1 r i0 @0 n s
assyrischen	&0 s y1 r I0 S @0 n
ast	&1 s t
astarte	&0 s t &0 r t @0
astarten	&1 s t a0 r t @0 n
astharoth	&0 s t &0 r o0 t
asuba	&0 z u1 b a0
asur	&0 z u1 r
asurs	&0 z u1 r s
asynkritus	&0 z Y0 n k r i0 t U0 s
atad	&0 t a1 t
atara	&0 t a1 r a0
ataroth	&0 t &0 r O0 t
atem	a1 t @0 m
atems	a1 t @0 m s
atemzug	a1 t @0 m = u0 k
ater	a1 t @0 r
athach	&0 t &0 x
athaja	&0 t &0 j a0
athalja	&0 t &0 l j a0
athaljas	&0 t &0 l j a0 s
atharim	&0 t &0 r i1 m
athen	&0 t e1 n
athener	&0 t e1 n @0 r
athlai	&0 t l W1
atmen	a1 t m @0 n
attai	&0 t W1
attalia	&0 t &0 l i0 a0
auch	B1 x
aue	B1 @0
auen	B1 @0 n
auerochs	B1 @0 r O0 k s
auf	B1 f
aufbaue	B1 f b B0 @0
aufbauen	B1 f b B0 @0 n
aufbaut	B1 f b B0 t
aufbewahrt	B1 f b @0 v a0 r t
aufbieten	B1 f b i0 t @0 n
aufblase	B1 f b l a0 z @0
aufblähen	B1 f b l )0 @0 n
aufbot	B1 f b o0 t
aufbrach	B1 f b r a0 x
aufbrachen	B1 f b r a0 x @0 n
aufbrachten	B1 f b r &0 x t @0 n
aufbrechen	B1 f b r E0 x @0 n
aufbricht	B1 f b r I0 x t
aufbringen	B1 f b r I0 N @0 n
aufbruch	B1 f b r U0 x
aufdecken	B1 f d E0 k @0 n
aufdeckt	B1 f d E0 k t
aufdecktest	B1 f d E0 k t @0 s t
aufdeckung	B1 f d E0 k U0 N
aufeinander	B0 f W0 n &1 n d @0 r
auferbaut	B1 f E0 r b B1 t
auferbauung	B1 f E0 r b B1 U0 N
auferlegen	B1 f E0 r l e0 g @0 n
auferlegst	B1 f E0 r l e0 k s t
auferlegt	B1 f E0 r l e0 k t
auferstanden	B1 f E0 r S t &0 n d @0 n
auferstehe	B1 f E0 r S t e0 @0
auferstehen	B1 f E0 r S t e0 @0 n
auferstehst	B1 f E0 r S t e0 s t
auferstehung	B1 f E0 r S t e0 U0 N
auferstünde	B1 f E0 r S t Y0 n d @0
auferwecke	B1 f E0 r v E0 k @0
auferwecken	B1 f E0 r v E0 k @0 n
auferweckt	B1 f E0 r v E0 k t
auferweckte	B1 f E0 r v E0 k t @0
auferweckung	B1 f E0 r v E0 k U0 N
auferzogen	B1 f E0 r = o0 g @0 n
aufessen	B1 f E0 s @0 n
auffahren	B1 f f a0 r @0 n
auffliegen	B1 f f l i0 g @0 n
auffressen	B1 f f r E0 s @0 n
aufführen	B1 f f y0 r @0 n
aufgaben	B1 f g a0 b @0 n
aufgang	B1 f g &0 N
aufgebaut	B1 f g @0 b B0 t
aufgeben	B1 f g e0 b @0 n
aufgeblasen	B1 f g @0 b l a0 z @0 n
aufgeblasene	B1 f g @0 b l a0 z @0 n @0
aufgeblasenen	B1 f g @0 b l a0 z @0 n @0 n
aufgeboten	B1 f g @0 b o0 t @0 n
aufgebracht	B1 f g @0 b r &0 x t
aufgebraucht	B1 f g @0 b r B0 x t
aufgebrochen	B1 f g @0 b r O0 x @0 n
aufgedeckt	B1 f g @0 d E0 k t
aufgedeckten	B1 f g @0 d E0 k t @0 n
aufgefahren	B1 f g @0 f a0 r @0 n
aufgefressen	B1 f g @0 f r E0 s @0 n
aufgegangen	B1 f g @0 g &0 N @0 n
aufgegangene	B1 f g @0 g &0 N @0 n @0
aufgegeben	B1 f g @0 g e0 b @0 n
aufgegessen	B1 f g @0 g E0 s @0 n
aufgehalten	B1 f g @0 h &0 l t @0 n
aufgehe	B1 f g e0 @0
aufgehen	B1 f g e0 @0 n
aufgehoben	B1 f g @0 h o0 b @0 n
aufgeht	B1 f g e0 t
aufgehängt	B1 f g @0 h E0 N t
aufgehängter	B1 f g @0 h E0 N t @0 r
aufgehört	B1 f g @0 h 0 r t
aufgekommen	B1 f g @0 k O0 m @0 n
aufgeladen	B1 f g @0 l a0 d @0 n
aufgelegt	B1 f g @0 l e0 k t
aufgelehnt	B1 f g @0 l e0 n t
aufgelesen	B1 f g @0 l e0 z @0 n
aufgeleuchtet	B1 f g @0 l X0 x t @0 t
aufgelodert	B1 f g @0 l o0 d @0 r t
aufgelöst	B1 f g @0 l 0 s t
aufgemacht	B1 f g @0 m &0 x t
aufgemerkt	B1 f g @0 m E0 r k t
aufgenommen	B1 f g @0 n O0 m @0 n
aufgerecktem	B1 f g @0 r E0 k t @0 m
aufgereizt	B1 f g @0 r W0 = t
aufgerichtet	B1 f g @0 r I0 x t @0 t
aufgerieben	B1 f g @0 r i0 b @0 n
aufgerissen	B1 f g @0 r I0 s @0 n
aufgesammelt	B1 f g @0 z &0 m @0 l t
aufgescheucht	B1 f g @0 S X0 x t
aufgeschlagen	B1 f g @0 S l a0 g @0 n
aufgeschlitzt	B1 f g @0 S l I0 = t
aufgeschrieben	B1 f g @0 S r i0 b @0 n
aufgespart	B1 f g @0 S p a0 r t
aufgesperrt	B1 f g @0 S p E0 r t
aufgespielt	B1 f g @0 S p i0 l t
aufgestanden	B1 f g @0 S t &0 n d @0 n
aufgestellt	B1 f g @0 S t E0 l t
aufgestiegen	B1 f g @0 S t i0 g @0 n
aufgetan	B1 f g @0 t a0 n
aufgetreten	B1 f g @0 t r e0 t @0 n
aufgewachsen	B1 f g @0 v &0 k s @0 n
aufgewacht	B1 f g @0 v &0 x t
aufgezehrt	B1 f g @0 = e0 r t
aufgezeichnet	B1 f g @0 = W0 x n @0 t
aufgezogen	B1 f g @0 = o0 g @0 n
aufgezählt	B1 f g @0 = )0 l t
aufgibst	B1 f g i0 p s t
aufgibt	B1 f g i0 p t
aufging	B1 f g I0 N
aufgraben	B1 f g r a0 b @0 n
aufgreift	B1 f g r W0 f t
aufhalte	B1 f h &0 l t @0
aufhalten	B1 f h &0 l t @0 n
aufhebe	B1 f h e0 b @0
aufheben	B1 f h e0 b @0 n
aufhebt	B1 f h e0 p t
aufhelfe	B1 f h E0 l f @0
aufhelfen	B1 f h E0 l f @0 n
aufhielte	B1 f h i0 l t @0
aufhielten	B1 f h i0 l t @0 n
aufhilft	B1 f h I0 l f t
aufhob	B1 f h o0 p
aufhoben	B1 f h o0 b @0 n
aufhobt	B1 f h o0 p t
aufhorche	B1 f h O0 r x @0
aufhorchen	B1 f h O0 r x @0 n
aufhält	B1 f h E0 l t
aufhältst	B1 f h E0 l = t
aufhänge	B1 f h E0 N @0
aufhängen	B1 f h E0 N @0 n
aufhäufen	B1 f h X0 f @0 n
aufhäuft	B1 f h X0 f t
aufhöre	B1 f h 0 r @0
aufhören	B1 f h 0 r @0 n
aufhört	B1 f h 0 r t
aufhörte	B1 f h 0 r t @0
aufhörten	B1 f h 0 r t @0 n
aufkam	B1 f k a0 m
aufkommen	B1 f k O0 m @0 n
aufkommt	B1 f k O0 m t
aufkäme	B1 f k )0 m @0
aufladen	B1 f l a0 d @0 n
auflas	B1 f l a0 s
auflauf	B1 f l B0 f
auflaufen	B1 f l B0 f @0 n
aufleben	B1 f l e0 b @0 n
auflege	B1 f l e0 g @0
auflegen	B1 f l e0 g @0 n
auflegt	B1 f l e0 k t
auflegte	B1 f l e0 k t @0
auflegten	B1 f l e0 k t @0 n
auflegung	B1 f l e0 g U0 N
auflehnen	B1 f l e0 n @0 n
auflehnt	B1 f l e0 n t
auflehnten	B1 f l e0 n t @0 n
auflese	B1 f l e0 z @0
auflesen	B1 f l e0 z @0 n
aufleuchten	B1 f l X0 x t @0 n
aufloderte	B1 f l o0 d @0 r t @0
auflöse	B1 f l 0 z @0
auflösen	B1 f l 0 z @0 n
auflöst	B1 f l 0 s t
aufmachen	B1 f m &0 x @0 n
aufmacht	B1 f m &0 x t
aufmachte	B1 f m &0 x t @0
aufmachten	B1 f m &0 x t @0 n
aufmerken	B1 f m E0 r k @0 n
aufmerkt	B1 f m E0 r k t
aufmerkte	B1 f m E0 r k t @0
aufnahm	B1 f n a0 m
aufnahmen	B1 f n a0 m @0 n
aufnahmet	B1 f n a0 m @0 t
aufnehmen	B1 f n e0 m @0 n
aufnehmet	B1 f n e0 m @0 t
aufnimmt	B1 f n I0 m t
aufnähmen	B1 f n )0 m @0 n
aufrecht	B1 f r E0 x t
aufreibe	B1 f r W0 b @0
aufreiben	B1 f r W0 b @0 n
aufreibst	B1 f r W0 p s t
aufreisst	B1 f r W0 s t
aufrichte	B1 f r I0 x t @0
aufrichten	B1 f r I0 x t @0 n
aufrichtest	B1 f r I0 x t @0 s t
aufrichtet	B1 f r I0 x t @0 t
aufrichtete	B1 f r I0 x t @0 t @0
aufrichtig	B1 f r I0 x t I0 x
aufrichtige	B1 f r I0 x t I0 g @0
aufrichtigem	B1 f r I0 x t I0 g @0 m
aufrichtigen	B1 f r I0 x t I0 g @0 n
aufrichtigkeit	B1 f r I0 x t I0 x k W0 t
aufrufen	B1 f r u0 f @0 n
aufruft	B1 f r u0 f t
aufruhr	B1 f r u0 r
aufruhren	B1 f r u0 r @0 n
aufruhrs	B1 f r u0 r s
aufrührer	B1 f r y0 r @0 r
aufrührerisch	B1 f r y0 r @0 r I0 S
aufrührerische	B1 f r y0 r @0 r I0 S @0
aufrührern	B1 f r y0 r @0 r n
aufrührt	B1 f r y0 r t
aufs	B1 f s
aufsah	B1 f z a0
aufschaute	B1 f S B0 t @0
aufschiessen	B1 f S i0 s @0 n
aufschlag	B1 f S l a0 k
aufschlagen	B1 f S l a0 g @0 n
aufschlitzen	B1 f S l I0 = @0 n
aufschlägst	B1 f S l )0 k s t
aufschrecke	B1 f S r E0 k @0
aufschrecken	B1 f S r E0 k @0 n
aufschreibe	B1 f S r W0 b @0
aufschreiben	B1 f S r W0 b @0 n
aufschreit	B1 f S r W0 t
aufschrieben	B1 f S r i0 b @0 n
aufschrift	B1 f S r I0 f t
aufschub	B1 f S u0 p
aufschürzen	B1 f S y0 r = @0 n
aufschütten	B1 f S Y0 t @0 n
aufsehen	B1 f z e0 @0 n
aufseher	B1 f z e0 @0 r
aufsehern	B1 f z e0 @0 r n
aufsetzen	B1 f z E0 = @0 n
aufsetzt	B1 f z E0 = t
aufsicht	B1 f z I0 x t
aufsitzen	B1 f z I0 = @0 n
aufspannen	B1 f S p &0 n @0 n
aufspannt	B1 f S p &0 n t
aufsperren	B1 f S p E0 r @0 n
aufsperrt	B1 f S p E0 r t
aufspüren	B1 f S p y0 r @0 n
aufstand	B1 f S t &0 n t
aufstanden	B1 f S t &0 n d @0 n
aufstandest	B1 f S t &0 n d @0 s t
aufstehen	B1 f S t e0 @0 n
aufstehst	B1 f S t e0 s t
aufsteht	B1 f S t e0 t
aufsteige	B1 f S t W0 g @0
aufsteigen	B1 f S t W0 g @0 n
